fecha_factura,trimestre,cliente_id,sku,unidades_vendidas,kilos_vendidos,kilos_vendidos_calculados,valor_venta,responsable_comercial,comentario,archivo_origen,Mes
2025-01-06,1,C017,110108,2,0.3,0.3,24150,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C017,110112,5,0.5,0.5,26350,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C017,110113,4,1.0,1.0,48800,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C002,130101,84,12.6,12.6,365080,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C017,120101,6,1.5,1.5,45690,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C017,120103,4,0.8,0.8,31490,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C017,900102,3,0.24,0.24,22390,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C017,130101,4,0.6,0.6,17600,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C002,110113,45,11.25,11.25,530480,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C017,900101,2,0.16,0.16,15330,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C001,110104,66,9.9,9.9,733270,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C003,110101,40,6.0,6.0,441270,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C014,110104,46,6.9,6.9,510790,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C001,110106,43,5.375,5.38,417080,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-06,1,C001,110107,43,5.375,5.38,428950,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C004,120103,109,21.8,21.8,810930,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C018,300102,74,17.02,17.02,519570,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C008,130102,197,197.0,197.0,3617220,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C018,300101,88,20.24,20.24,578820,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C018,130103,130,37.44,37.44,776990,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C009,110116,61,61.0,61.0,3547370,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C018,130101,238,35.7,35.7,997250,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C018,120104,81,16.2,16.2,473610,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C009,900106,38,38.0,38.0,3247790,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C009,120102,134,134.0,134.0,3780650,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C009,130102,158,158.0,158.0,2951670,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C009,130104,59,8.85,8.85,239440,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C005,130101,252,37.8,37.8,1037120,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C009,300103,101,101.0,101.0,2927840,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C006,130104,92,13.8,13.8,403990,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C005,130104,145,21.75,21.75,620190,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C006,130103,94,27.072,27.07,564990,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C006,130101,146,21.9,21.9,592530,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C005,300101,114,26.22,26.22,752130,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C006,120104,63,12.6,12.6,367850,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C009,300104,100,100.0,100.0,2916770,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C009,900105,35,35.0,35.0,3126050,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C005,900102,67,5.36,5.36,480790,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C008,900106,38,38.0,38.0,3343730,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C018,900102,52,4.16,4.16,376660,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C009,110111,53,53.0,53.0,3117650,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C004,130101,302,40.77,45.3,1236960,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C008,130104,68,10.2,10.2,282360,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C008,120102,113,113.0,113.0,3213810,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C008,110116,55,55.0,55.0,3206380,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C008,110111,72,72.0,72.0,4187210,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C007,900106,52,52.0,52.0,4669330,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C007,900105,52,52.0,52.0,4480500,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C008,300103,148,148.0,148.0,4306080,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C007,300104,142,142.0,142.0,4059490,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C007,300103,172,172.0,172.0,5031250,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C008,300104,126,126.0,126.0,3629370,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C008,900105,35,35.0,35.0,3130890,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C007,130102,192,192.0,192.0,3680490,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C007,130104,84,12.6,12.6,351390,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C007,120102,174,174.0,174.0,4918820,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C007,110111,76,76.0,76.0,4437960,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C004,300102,109,25.07,25.07,755380,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C004,300101,98,22.54,22.54,635150,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-07,1,C007,110116,88,88.0,88.0,5417250,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-08,1,C013,900103,16,1.28,1.28,135040,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-08,1,C015,300102,14,3.22,3.22,99900,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-08,1,C017,300101,4,0.92,0.92,27640,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-08,1,C017,900101,2,0.16,0.16,15700,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-08,1,C012,110115,10,2.5,2.5,191600,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-08,1,C013,110109,10,1.5,1.5,122600,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-08,1,C012,110108,14,2.1,2.1,167100,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-08,1,C015,120103,13,2.6,2.6,99550,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-08,1,C012,110109,11,1.65,1.65,131010,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-08,1,C015,300101,12,2.76,2.76,81650,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-08,1,C012,110105,11,1.65,1.65,123190,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-08,1,C013,110115,8,2.0,2.0,158570,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-08,1,C017,900103,2,0.16,0.16,16960,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C001,110110,43,15.48,15.48,1104140,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C002,110110,23,8.28,8.28,586410,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C001,130103,92,26.496,26.5,576480,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C001,110105,57,8.55,8.55,617900,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C001,300102,76,17.48,17.48,537380,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C001,900104,84,6.72,6.72,598580,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C001,120103,88,17.6,17.6,665150,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C001,900103,59,4.72,4.72,476340,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C001,110101,62,9.3,9.3,671720,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C002,120101,79,19.75,19.75,595250,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C003,110115,37,9.25,9.25,702830,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C003,120104,42,8.4,8.4,260000,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C014,900104,50,4.0,4.0,354150,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C014,900102,50,4.0,4.0,372160,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C014,900101,45,3.6,3.6,341190,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C014,300101,81,18.63,18.63,544370,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C002,110115,45,11.25,11.25,841570,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C014,130101,90,13.5,13.5,383990,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C014,120103,66,13.2,13.2,494590,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C014,110115,33,8.25,8.25,614720,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C014,110106,41,5.125,5.12,402110,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C014,110105,36,5.4,5.4,396720,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C014,110103,52,7.8,7.8,568480,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C014,110101,46,6.9,6.9,512030,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C001,110102,71,10.65,10.65,780490,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C003,110114,42,10.5,10.5,757530,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C001,110103,64,9.6,9.6,713590,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C003,300102,45,10.35,10.35,325940,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C016,110110,19,6.84,6.84,492720,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C002,120103,60,12.0,12.0,449820,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C003,110112,111,11.1,11.1,581020,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C002,130103,82,23.616,23.62,505060,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C002,300101,71,16.33,16.33,490140,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C002,900101,44,3.52,3.52,333260,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C002,120104,64,12.8,12.8,388250,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C016,900101,30,2.4,2.4,231010,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C002,900103,53,4.24,4.24,426600,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C003,110102,39,5.85,5.85,437180,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C003,110103,51,7.65,7.65,559020,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-09,1,C016,300102,38,8.74,8.74,276270,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C006,120101,101,25.25,25.25,730050,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C006,120103,65,13.0,13.0,466240,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C005,300102,63,14.49,14.49,443090,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C006,300101,73,16.79,16.79,477530,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C005,130103,178,51.264,51.26,1069250,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C006,900102,47,3.76,3.76,335960,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C005,120104,102,20.4,20.4,587410,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C005,120103,105,21.0,21.0,769400,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C005,120101,130,35.75,32.5,942930,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C005,110113,76,19.0,19.0,854330,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C005,110112,106,10.6,10.6,525650,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C018,120103,94,18.8,18.8,672230,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C017,130101,3,0.45,0.45,13040,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C004,120104,152,30.4,30.4,884190,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C018,130104,120,18.0,18.0,523400,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C004,120101,175,43.75,43.75,1257050,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C017,110113,3,0.75,0.75,36130,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C004,110113,71,17.75,17.75,799990,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C004,110112,168,16.8,16.8,843420,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C018,110112,114,11.4,11.4,577730,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C018,110113,63,15.75,15.75,713900,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C018,120101,130,32.5,32.5,961270,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C004,130104,139,20.85,20.85,610060,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C004,130103,185,53.28,53.28,1110810,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-10,1,C006,110112,95,9.5,9.5,472180,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-11,1,C015,900101,12,0.96,0.96,92610,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-11,1,C015,900102,8,0.64,0.64,60830,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-11,1,C015,130101,25,3.75,3.75,109770,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C014,110110,25,9.0,9.0,647950,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C016,120103,39,7.8,7.8,291450,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C016,110102,33,4.95,4.95,361930,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C014,900103,64,5.12,5.12,523960,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C001,300101,101,23.23,23.23,695000,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C001,110112,123,12.3,12.3,648410,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C017,110113,2,0.5,0.5,24540,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C016,120101,62,15.5,15.5,469430,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C003,300101,50,11.5,11.5,345430,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C001,900102,61,4.88,4.88,458000,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C003,900101,47,3.76,3.76,361980,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C016,110115,35,8.75,8.75,649280,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C016,110101,37,5.55,5.55,401080,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C001,130101,121,18.15,18.15,520520,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C002,900104,50,4.0,4.0,354800,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C017,130101,3,0.45,0.45,13410,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C016,120104,48,9.6,9.6,294860,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C016,900103,34,2.72,2.72,281380,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C002,300102,59,13.57,13.57,430640,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C001,120104,67,13.4,13.4,407280,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C016,900102,48,3.84,3.84,349280,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C003,120103,52,10.4,10.4,389310,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C016,130101,82,12.3,12.3,346810,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C003,120101,63,15.75,15.75,469240,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C001,120101,135,33.75,33.75,1045270,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C001,110114,61,15.25,15.25,1116850,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C016,300101,60,13.8,13.8,411040,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C001,110115,67,16.75,16.75,1265490,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C001,110113,68,17.0,17.0,788220,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C014,120104,60,12.0,12.0,366880,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C016,130103,63,18.144,18.14,386490,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C002,110102,46,6.9,6.9,504510,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C003,900104,51,4.08,4.08,350080,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C002,110114,48,12.0,12.0,874250,Sara Vélez,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C003,900103,45,3.6,3.6,363800,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C017,300102,3,0.69,0.69,22350,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C016,110112,72,7.2,7.2,369300,Juan Sebastián León,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C014,110113,58,14.5,14.5,681140,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C014,110107,38,4.75,4.75,371960,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-13,1,C014,110114,47,11.75,11.75,856990,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-14,1,C004,900102,91,7.28,7.28,648150,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-14,1,C004,120103,105,21.0,21.0,760620,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-14,1,C006,110113,62,15.5,15.5,702280,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-14,1,C004,300102,80,18.4,18.4,556080,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-14,1,C006,300102,81,18.63,18.63,552910,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C013,900101,11,0.88,0.88,86820,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C017,900103,2,0.16,0.16,17040,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C012,110101,16,2.4,2.4,185020,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C015,900102,7,0.56,0.56,51590,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C013,110105,9,1.35,1.35,103090,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C013,110106,10,1.25,1.25,100490,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C013,110114,14,3.5,3.5,264760,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C012,110102,17,2.55,2.55,194070,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C017,120103,3,0.6,0.6,22840,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C017,110113,2,0.5,0.5,23800,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C017,300102,2,0.46,0.46,14670,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C015,120101,17,4.25,4.25,129810,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C013,900102,20,1.6,1.6,149520,María Paz Torres,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C012,110110,7,2.52,2.52,185850,Daniel Rojas,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C012,110106,10,1.25,1.25,99150,Laura Mejía,N/A,ERP_COMERCIAL_Q1,2025-01
2025-01-15,1,C015,110113,14,3.5,3.5,170050,Nicolás Pardo,N/A,ERP_COMERCIAL_Q1,2025-01
