fecha_factura,semestre,cliente_id,sku,unidades_vendidas,kilos_vendidos,kilos_vendidos_calculados,valor_venta,archivo_origen,Mes
2025-03-26,1,C001,110101,3,0.45,0.45,43300,POS_SHARE_H1,2025-03
2025-03-27,1,C001,110101,6,0.9,0.9,89620,POS_SHARE_H1,2025-03
2025-03-28,1,C001,110101,3,0.45,0.45,43850,POS_SHARE_H1,2025-03
2025-03-29,1,C001,110101,5,0.75,0.75,73780,POS_SHARE_H1,2025-03
2025-03-30,1,C001,110101,6,0.9,0.9,85930,POS_SHARE_H1,2025-03
2025-03-31,1,C001,110101,7,1.05,1.05,103140,POS_SHARE_H1,2025-03
2025-04-01,1,C001,110101,6,0.9,0.9,88610,POS_SHARE_H1,2025-04
2025-04-02,1,C001,110101,5,0.75,0.75,74640,POS_SHARE_H1,2025-04
2025-04-03,1,C001,110101,8,1.104,1.2,114750,POS_SHARE_H1,2025-04
2025-04-04,1,C001,110101,4,0.6,0.6,58590,POS_SHARE_H1,2025-04
2025-04-05,1,C001,110101,5,0.75,0.75,74440,POS_SHARE_H1,2025-04
2025-04-06,1,C001,110101,9,1.35,1.35,134020,POS_SHARE_H1,2025-04
2025-04-07,1,C001,110101,6,0.9,0.9,86790,POS_SHARE_H1,2025-04
2025-04-08,1,C001,110101,1,0.15,0.15,14970,POS_SHARE_H1,2025-04
2025-04-09,1,C001,110101,5,0.75,0.75,72800,POS_SHARE_H1,2025-04
2025-04-10,1,C001,110101,10,1.5,1.5,143840,POS_SHARE_H1,2025-04
2025-04-11,1,C001,110101,3,0.45,0.45,44880,POS_SHARE_H1,2025-04
2025-04-12,1,C001,110101,9,1.35,1.35,131810,POS_SHARE_H1,2025-04
2025-04-13,1,C001,110101,4,0.6,0.6,59610,POS_SHARE_H1,2025-04
2025-04-14,1,C001,110101,7,1.05,1.05,103470,POS_SHARE_H1,2025-04
2025-04-15,1,C001,110101,3,0.45,0.45,44620,POS_SHARE_H1,2025-04
2025-04-16,1,C001,110101,10,1.5,1.5,148860,POS_SHARE_H1,2025-04
2025-04-17,1,C001,110101,8,1.2,1.2,118850,POS_SHARE_H1,2025-04
2025-04-18,1,C001,110101,5,0.75,0.75,72320,POS_SHARE_H1,2025-04
2025-04-19,1,C001,110101,10,1.5,1.5,147160,POS_SHARE_H1,2025-04
2025-04-20,1,C001,110101,4,0.6,0.6,59080,POS_SHARE_H1,2025-04
2025-04-21,1,C001,110101,3,0.45,0.45,44670,POS_SHARE_H1,2025-04
2025-04-22,1,C001,110101,4,0.6,0.6,57090,POS_SHARE_H1,2025-04
2025-04-23,1,C001,110101,8,1.2,1.2,118670,POS_SHARE_H1,2025-04
2025-04-24,1,C001,110101,5,0.75,0.75,71830,POS_SHARE_H1,2025-04
2025-04-25,1,C001,110101,9,1.35,1.35,128500,POS_SHARE_H1,2025-04
2025-04-26,1,C001,110101,11,1.65,1.65,157070,POS_SHARE_H1,2025-04
2025-04-27,1,C001,110101,5,0.75,0.75,72840,POS_SHARE_H1,2025-04
2025-04-28,1,C001,110101,3,0.45,0.45,44510,POS_SHARE_H1,2025-04
2025-04-29,1,C001,110101,1,0.15,0.15,14540,POS_SHARE_H1,2025-04
2025-04-30,1,C001,110101,5,0.75,0.75,73020,POS_SHARE_H1,2025-04
2025-05-01,1,C001,110101,6,0.9,0.9,85580,POS_SHARE_H1,2025-05
2025-05-02,1,C001,110101,3,0.45,0.45,42940,POS_SHARE_H1,2025-05
2025-05-03,1,C001,110101,5,0.75,0.75,71660,POS_SHARE_H1,2025-05
2025-05-04,1,C001,110101,3,0.45,0.45,43950,POS_SHARE_H1,2025-05
2025-05-05,1,C001,110101,9,1.35,1.35,132510,POS_SHARE_H1,2025-05
2025-05-06,1,C001,110101,2,0.3,0.3,28870,POS_SHARE_H1,2025-05
2025-05-07,1,C001,110101,6,0.9,0.9,87710,POS_SHARE_H1,2025-05
2025-05-08,1,C001,110101,7,1.05,1.05,99940,POS_SHARE_H1,2025-05
2025-05-09,1,C001,110101,8,1.2,1.2,119090,POS_SHARE_H1,2025-05
2025-05-10,1,C001,110101,11,1.65,1.65,162680,POS_SHARE_H1,2025-05
2025-05-11,1,C001,110101,5,0.75,0.75,74380,POS_SHARE_H1,2025-05
2025-05-12,1,C001,110101,6,0.9,0.9,87240,POS_SHARE_H1,2025-05
2025-05-13,1,C001,110101,6,0.9,0.9,85850,POS_SHARE_H1,2025-05
2025-05-14,1,C001,110101,7,1.05,1.05,100640,POS_SHARE_H1,2025-05
2025-05-15,1,C001,110101,8,1.2,1.2,115610,POS_SHARE_H1,2025-05
2025-05-16,1,C001,110101,3,0.45,0.45,43750,POS_SHARE_H1,2025-05
2025-05-17,1,C001,110101,6,0.9,0.9,89690,POS_SHARE_H1,2025-05
2025-05-18,1,C001,110101,6,0.9,0.9,86880,POS_SHARE_H1,2025-05
2025-05-19,1,C001,110101,5,0.75,0.75,74430,POS_SHARE_H1,2025-05
2025-05-20,1,C001,110101,8,1.2,1.2,119460,POS_SHARE_H1,2025-05
2025-05-21,1,C001,110101,6,0.9,0.9,89890,POS_SHARE_H1,2025-05
2025-05-22,1,C001,110101,11,1.65,1.65,163190,POS_SHARE_H1,2025-05
2025-05-23,1,C001,110101,2,0.3,0.3,28980,POS_SHARE_H1,2025-05
2025-05-24,1,C001,110101,6,0.9,0.9,85850,POS_SHARE_H1,2025-05
2025-05-25,1,C001,110101,7,1.05,1.05,101530,POS_SHARE_H1,2025-05
2025-05-26,1,C001,110101,8,1.2,1.2,115180,POS_SHARE_H1,2025-05
2025-05-27,1,C001,110101,4,0.6,0.6,59740,POS_SHARE_H1,2025-05
2025-05-28,1,C001,110101,3,0.45,0.45,43440,POS_SHARE_H1,2025-05
2025-05-29,1,C001,110101,6,0.9,0.9,86320,POS_SHARE_H1,2025-05
2025-05-30,1,C001,110101,5,0.75,0.75,74780,POS_SHARE_H1,2025-05
2025-05-31,1,C001,110101,8,1.2,1.2,115280,POS_SHARE_H1,2025-05
2025-06-01,1,C001,110101,7,1.05,1.05,101950,POS_SHARE_H1,2025-06
2025-06-02,1,C001,110101,4,0.6,0.6,59170,POS_SHARE_H1,2025-06
2025-06-03,1,C001,110101,1,0.15,0.15,14720,POS_SHARE_H1,2025-06
2025-06-04,1,C001,110101,6,0.9,0.9,88570,POS_SHARE_H1,2025-06
2025-06-05,1,C001,110101,5,0.75,0.75,73910,POS_SHARE_H1,2025-06
2025-06-06,1,C001,110101,4,0.6,0.6,57960,POS_SHARE_H1,2025-06
2025-06-07,1,C001,110101,3,0.45,0.45,44510,POS_SHARE_H1,2025-06
2025-06-08,1,C001,110101,8,1.2,1.2,117290,POS_SHARE_H1,2025-06
2025-06-09,1,C001,110101,4,0.6,0.6,59030,POS_SHARE_H1,2025-06
2025-06-10,1,C001,110101,5,0.75,0.75,74170,POS_SHARE_H1,2025-06
2025-06-11,1,C001,110101,9,1.35,1.35,133240,POS_SHARE_H1,2025-06
2025-06-12,1,C001,110101,4,N/A,0.6,57790,POS_SHARE_H1,2025-06
2025-06-13,1,C001,110101,6,0.9,0.9,87780,POS_SHARE_H1,2025-06
2025-06-14,1,C001,110101,12,1.8,1.8,171770,POS_SHARE_H1,2025-06
2025-06-15,1,C001,110101,6,0.9,0.9,89290,POS_SHARE_H1,2025-06
2025-06-16,1,C001,110101,6,0.9,0.9,87140,POS_SHARE_H1,2025-06
2025-06-17,1,C001,110101,6,0.9,0.9,87450,POS_SHARE_H1,2025-06
2025-06-18,1,C001,110101,5,0.75,0.75,74120,POS_SHARE_H1,2025-06
2025-06-19,1,C001,110101,3,0.45,0.45,44910,POS_SHARE_H1,2025-06
2025-06-20,1,C001,110101,3,0.45,0.45,44280,POS_SHARE_H1,2025-06
2025-06-21,1,C001,110101,8,1.2,1.2,119200,POS_SHARE_H1,2025-06
2025-06-22,1,C001,110101,6,0.9,0.9,87350,POS_SHARE_H1,2025-06
2025-06-23,1,C001,110101,2,N/A,0.3,28710,POS_SHARE_H1,2025-06
2025-06-24,1,C001,110101,1,0.15,0.15,14430,POS_SHARE_H1,2025-06
2025-06-25,1,C001,110101,7,1.05,1.05,102270,POS_SHARE_H1,2025-06
2025-06-26,1,C001,110101,9,1.35,1.35,130360,POS_SHARE_H1,2025-06
2025-06-27,1,C001,110101,6,0.9,0.9,88410,POS_SHARE_H1,2025-06
2025-06-28,1,C001,110101,8,1.2,1.2,114540,POS_SHARE_H1,2025-06
2025-06-29,1,C001,110101,2,0.3,0.3,29900,POS_SHARE_H1,2025-06
2025-06-30,1,C001,110101,6,0.9,0.9,85960,POS_SHARE_H1,2025-06
2025-01-01,1,C001,110102,7,1.05,1.05,101680,POS_SHARE_H1,2025-01
2025-01-02,1,C001,110102,4,0.6,0.6,57550,POS_SHARE_H1,2025-01
2025-01-03,1,C001,110102,8,1.2,1.2,117280,POS_SHARE_H1,2025-01
2025-01-04,1,C001,110102,7,1.05,1.05,99790,POS_SHARE_H1,2025-01
2025-01-05,1,C001,110102,6,0.9,0.9,87650,POS_SHARE_H1,2025-01
2025-01-06,1,C001,110102,3,0.45,0.45,44750,POS_SHARE_H1,2025-01
2025-01-07,1,C001,110102,8,1.2,1.2,118860,POS_SHARE_H1,2025-01
2025-01-08,1,C001,110102,2,0.3,0.3,29250,POS_SHARE_H1,2025-01
2025-01-09,1,C001,110102,4,0.6,0.6,58630,POS_SHARE_H1,2025-01
2025-01-10,1,C001,110102,3,0.45,0.45,42870,POS_SHARE_H1,2025-01
2025-01-11,1,C001,110102,7,1.05,1.05,100430,POS_SHARE_H1,2025-01
2025-01-12,1,C001,110102,5,0.75,0.75,71350,POS_SHARE_H1,2025-01
2025-01-13,1,C001,110102,4,0.6,0.6,59820,POS_SHARE_H1,2025-01
2025-01-14,1,C001,110102,10,1.5,1.5,149560,POS_SHARE_H1,2025-01
2025-01-15,1,C001,110102,6,0.9,0.9,87470,POS_SHARE_H1,2025-01
2025-01-16,1,C001,110102,6,0.9,0.9,85940,POS_SHARE_H1,2025-01
2025-01-17,1,C001,110102,7,1.05,1.05,103610,POS_SHARE_H1,2025-01
2025-01-18,1,C001,110102,5,0.75,0.75,72050,POS_SHARE_H1,2025-01
2025-01-19,1,C001,110102,8,1.2,1.2,115120,POS_SHARE_H1,2025-01
2025-01-20,1,C001,110102,6,0.9,0.9,86840,POS_SHARE_H1,2025-01
2025-01-21,1,C001,110102,5,0.75,0.75,73670,POS_SHARE_H1,2025-01
2025-01-22,1,C001,110102,6,0.9,0.9,89140,POS_SHARE_H1,2025-01
2025-01-23,1,C001,110102,5,0.75,0.75,71520,POS_SHARE_H1,2025-01
2025-01-24,1,C001,110102,5,0.75,0.75,73340,POS_SHARE_H1,2025-01
2025-01-25,1,C001,110102,8,1.2,1.2,118070,POS_SHARE_H1,2025-01
2025-01-26,1,C001,110102,7,1.05,1.05,101570,POS_SHARE_H1,2025-01
2025-01-27,1,C001,110102,4,0.6,0.6,58420,POS_SHARE_H1,2025-01
2025-01-28,1,C001,110102,8,1.2,1.2,119480,POS_SHARE_H1,2025-01
2025-01-29,1,C001,110102,4,0.6,0.6,58930,POS_SHARE_H1,2025-01
2025-01-30,1,C001,110102,7,1.05,1.05,100180,POS_SHARE_H1,2025-01
2025-01-31,1,C001,110102,7,1.05,1.05,101600,POS_SHARE_H1,2025-01
2025-02-01,1,C001,110102,5,0.75,0.75,74290,POS_SHARE_H1,2025-02
2025-02-02,1,C001,110102,4,0.6,0.6,58480,POS_SHARE_H1,2025-02
2025-02-03,1,C001,110102,12,1.8,1.8,178260,POS_SHARE_H1,2025-02
2025-02-04,1,C001,110102,9,1.35,1.35,132050,POS_SHARE_H1,2025-02
2025-02-05,1,C001,110102,2,0.3,0.3,29930,POS_SHARE_H1,2025-02
2025-02-06,1,C001,110102,10,N/A,1.5,146940,POS_SHARE_H1,2025-02
2025-02-07,1,C001,110102,6,0.9,0.9,87920,POS_SHARE_H1,2025-02
2025-02-08,1,C001,110102,5,0.75,0.75,72710,POS_SHARE_H1,2025-02
2025-02-09,1,C001,110102,2,0.3,0.3,28750,POS_SHARE_H1,2025-02
2025-02-10,1,C001,110102,3,0.45,0.45,43270,POS_SHARE_H1,2025-02
2025-02-11,1,C001,110102,3,0.45,0.45,44020,POS_SHARE_H1,2025-02
2025-02-12,1,C001,110102,2,0.3,0.3,29660,POS_SHARE_H1,2025-02
2025-02-13,1,C001,110102,5,0.75,0.75,73860,POS_SHARE_H1,2025-02
2025-02-14,1,C001,110102,7,1.05,1.05,100940,POS_SHARE_H1,2025-02
2025-02-15,1,C001,110102,6,0.9,0.9,88820,POS_SHARE_H1,2025-02
2025-02-16,1,C001,110102,5,0.75,0.75,73360,POS_SHARE_H1,2025-02
2025-02-17,1,C001,110102,4,0.6,0.6,58210,POS_SHARE_H1,2025-02
2025-02-18,1,C001,110102,3,0.45,0.45,44170,POS_SHARE_H1,2025-02
2025-02-19,1,C001,110102,7,1.05,1.05,103220,POS_SHARE_H1,2025-02
2025-02-20,1,C001,110102,6,0.9,0.9,89860,POS_SHARE_H1,2025-02
2025-02-21,1,C001,110102,11,1.65,1.65,161320,POS_SHARE_H1,2025-02
2025-02-22,1,C001,110102,8,1.2,1.2,119220,POS_SHARE_H1,2025-02
2025-02-23,1,C001,110102,5,0.75,0.75,71740,POS_SHARE_H1,2025-02
2025-02-24,1,C001,110102,11,1.65,1.65,162350,POS_SHARE_H1,2025-02
2025-02-25,1,C001,110102,4,0.6,0.6,58780,POS_SHARE_H1,2025-02
2025-02-26,1,C001,110102,6,0.9,0.9,85590,POS_SHARE_H1,2025-02
2025-02-27,1,C001,110102,3,0.45,0.45,43960,POS_SHARE_H1,2025-02
2025-02-28,1,C001,110102,7,1.05,1.05,100250,POS_SHARE_H1,2025-02
2025-03-01,1,C001,110102,11,1.65,1.65,164380,POS_SHARE_H1,2025-03
2025-03-03,1,C001,110102,4,0.6,0.6,59140,POS_SHARE_H1,2025-03
2025-03-04,1,C001,110102,4,0.6,0.6,59440,POS_SHARE_H1,2025-03
2025-03-05,1,C001,110102,6,0.9,0.9,88640,POS_SHARE_H1,2025-03
2025-03-06,1,C001,110102,2,0.3,0.3,29750,POS_SHARE_H1,2025-03
2025-03-07,1,C001,110102,7,1.05,1.05,100270,POS_SHARE_H1,2025-03
2025-03-08,1,C001,110102,9,1.35,1.35,130300,POS_SHARE_H1,2025-03
2025-03-09,1,C001,110102,5,0.75,0.75,73380,POS_SHARE_H1,2025-03
2025-03-10,1,C001,110102,7,1.05,1.05,101240,POS_SHARE_H1,2025-03
2025-03-11,1,C001,110102,5,0.75,0.75,73410,POS_SHARE_H1,2025-03
2025-03-12,1,C001,110102,2,0.3,0.3,29360,POS_SHARE_H1,2025-03
2025-03-13,1,C001,110102,6,0.9,0.9,86880,POS_SHARE_H1,2025-03
2025-03-14,1,C001,110102,12,N/A,1.8,173820,POS_SHARE_H1,2025-03
2025-03-15,1,C001,110102,10,1.5,1.5,146810,POS_SHARE_H1,2025-03
2025-03-16,1,C001,110102,4,0.6,0.6,58940,POS_SHARE_H1,2025-03
2025-03-17,1,C001,110102,6,0.9,0.9,88410,POS_SHARE_H1,2025-03
2025-03-18,1,C001,110102,7,1.05,1.05,102850,POS_SHARE_H1,2025-03
2025-03-19,1,C001,110102,4,0.6,0.6,59160,POS_SHARE_H1,2025-03
2025-03-20,1,C001,110102,6,0.9,0.9,87890,POS_SHARE_H1,2025-03
2025-03-21,1,C001,110102,6,0.9,0.9,85880,POS_SHARE_H1,2025-03
2025-03-22,1,C001,110102,10,1.5,1.5,148920,POS_SHARE_H1,2025-03
2025-03-23,1,C001,110102,4,0.6,0.6,58710,POS_SHARE_H1,2025-03
2025-03-24,1,C001,110102,6,0.9,0.9,89090,POS_SHARE_H1,2025-03
2025-03-25,1,C001,110102,4,0.6,0.6,58770,POS_SHARE_H1,2025-03
2025-03-26,1,C001,110102,6,0.9,0.9,87070,POS_SHARE_H1,2025-03
2025-03-27,1,C001,110102,12,1.8,1.8,171590,POS_SHARE_H1,2025-03
2025-03-28,1,C001,110102,6,0.9,0.9,86340,POS_SHARE_H1,2025-03
2025-03-29,1,C001,110102,5,0.75,0.75,74330,POS_SHARE_H1,2025-03
2025-03-30,1,C001,110102,2,0.3,0.3,29350,POS_SHARE_H1,2025-03
2025-03-31,1,C001,110102,4,0.6,0.6,57150,POS_SHARE_H1,2025-03
2025-04-01,1,C001,110102,5,0.75,0.75,71900,POS_SHARE_H1,2025-04
2025-04-02,1,C001,110102,7,1.05,1.05,101730,POS_SHARE_H1,2025-04
2025-04-03,1,C001,110102,1,0.15,0.15,14740,POS_SHARE_H1,2025-04
2025-04-04,1,C001,110102,5,0.75,0.75,71640,POS_SHARE_H1,2025-04
2025-04-05,1,C001,110102,8,1.2,1.2,117230,POS_SHARE_H1,2025-04
2025-04-06,1,C001,110102,6,0.9,0.9,89350,POS_SHARE_H1,2025-04
2025-04-07,1,C001,110102,7,1.05,1.05,101930,POS_SHARE_H1,2025-04
2025-04-08,1,C001,110102,6,0.9,0.9,87930,POS_SHARE_H1,2025-04
2025-04-09,1,C001,110102,6,0.9,0.9,89680,POS_SHARE_H1,2025-04
2025-04-10,1,C001,110102,10,1.5,1.5,145990,POS_SHARE_H1,2025-04
2025-04-11,1,C001,110102,5,0.75,0.75,72230,POS_SHARE_H1,2025-04
2025-04-12,1,C001,110102,10,1.5,1.5,142600,POS_SHARE_H1,2025-04
2025-04-13,1,C001,110102,3,0.45,0.45,44820,POS_SHARE_H1,2025-04
2025-04-14,1,C001,110102,5,0.75,0.75,74540,POS_SHARE_H1,2025-04
2025-04-15,1,C001,110102,6,0.9,0.9,88810,POS_SHARE_H1,2025-04
2025-04-16,1,C001,110102,5,0.75,0.75,73300,POS_SHARE_H1,2025-04
2025-04-17,1,C001,110102,4,0.6,0.6,58530,POS_SHARE_H1,2025-04
2025-04-18,1,C001,110102,3,0.45,0.45,44180,POS_SHARE_H1,2025-04
2025-04-19,1,C001,110102,8,1.2,1.2,119470,POS_SHARE_H1,2025-04
2025-04-20,1,C001,110102,6,0.9,0.9,86500,POS_SHARE_H1,2025-04
2025-04-21,1,C001,110102,8,1.2,1.2,119730,POS_SHARE_H1,2025-04
2025-04-22,1,C001,110102,10,1.5,1.5,146220,POS_SHARE_H1,2025-04
2025-04-23,1,C001,110102,6,0.9,0.9,88950,POS_SHARE_H1,2025-04
2025-04-24,1,C001,110102,8,1.2,1.2,116870,POS_SHARE_H1,2025-04
2025-04-25,1,C001,110102,8,1.2,1.2,118060,POS_SHARE_H1,2025-04
2025-04-26,1,C001,110102,9,1.35,1.35,134530,POS_SHARE_H1,2025-04
2025-04-27,1,C001,110102,10,1.5,1.5,148900,POS_SHARE_H1,2025-04
2025-04-28,1,C001,110102,5,0.75,0.75,74320,POS_SHARE_H1,2025-04
2025-04-29,1,C001,110102,8,1.2,1.2,118920,POS_SHARE_H1,2025-04
2025-04-30,1,C001,110102,7,1.05,1.05,104680,POS_SHARE_H1,2025-04
2025-05-01,1,C001,110102,7,1.05,1.05,99840,POS_SHARE_H1,2025-05
2025-05-02,1,C001,110102,10,1.5,1.5,143090,POS_SHARE_H1,2025-05
2025-05-03,1,C001,110102,11,1.65,1.65,159380,POS_SHARE_H1,2025-05
2025-05-04,1,C001,110102,5,0.75,0.75,72800,POS_SHARE_H1,2025-05
2025-05-06,1,C001,110102,5,0.75,0.75,74660,POS_SHARE_H1,2025-05
2025-05-07,1,C001,110102,6,0.9,0.9,85690,POS_SHARE_H1,2025-05
2025-05-08,1,C001,110102,3,0.45,0.45,43620,POS_SHARE_H1,2025-05
2025-05-09,1,C001,110102,7,1.05,1.05,102130,POS_SHARE_H1,2025-05
2025-05-10,1,C001,110102,10,1.5,1.5,145490,POS_SHARE_H1,2025-05
2025-05-11,1,C001,110102,3,0.45,0.45,43440,POS_SHARE_H1,2025-05
2025-05-12,1,C001,110102,2,0.3,0.3,29320,POS_SHARE_H1,2025-05
2025-05-13,1,C001,110102,7,1.05,1.05,101300,POS_SHARE_H1,2025-05
2025-05-14,1,C001,110102,5,0.75,0.75,71530,POS_SHARE_H1,2025-05
2025-05-15,1,C001,110102,7,0.966,1.05,104140,POS_SHARE_H1,2025-05
2025-05-16,1,C001,110102,9,1.35,1.35,130870,POS_SHARE_H1,2025-05
